#mean_x                                     mean_xp
7.595779999925901249e-01 -1.236669416228523694e-01
7.595779999925901249e-01 -1.236669416228523694e-01
-2.518551120318376912e-01 -1.840060683874805980e-01
-2.518551120318376912e-01 -1.840060683874805980e-01
-9.802768322493258246e-01 -3.757625925418272422e-02
-9.802768322493258246e-01 -3.757625925418272422e-02
-6.071544606559983182e-01 1.510782613198788371e-01
-6.071544606559983182e-01 1.510782613198788371e-01
4.482317235151797585e-01 1.699650584478008541e-01
4.482317235151797585e-01 1.699650584478008541e-01
9.999367121740322384e-01 -2.139096967613124661e-03
9.999367121740322384e-01 -2.139096967613124661e-03
4.280056612535242944e-01 -1.718395338119209637e-01
4.280056612535242944e-01 -1.718395338119209637e-01
-6.248784142667878072e-01 -1.484426567314606205e-01
-6.248784142667878072e-01 -1.484426567314606205e-01
-9.755821436942370140e-01 4.176029605729140309e-02
-9.755821436942370140e-01 4.176029605729140309e-02
-2.300172364380146939e-01 1.850369053062932145e-01
-2.300172364380146939e-01 1.850369053062932145e-01
7.740196855362188044e-01 1.203862198344686912e-01
7.740196855362188044e-01 1.203862198344686912e-01
9.082851475533662011e-01 -7.954332241679683280e-02
9.082851475533662011e-01 -7.954332241679683280e-02
2.190408906561797098e-02 -1.900894640116023993e-01
2.190408906561797098e-02 -1.900894640116023993e-01
-8.890907510632203303e-01 -8.703071450946582577e-02
-8.890907510632203303e-01 -8.703071450946582577e-02
-8.010079513889872826e-01 1.138250717276780150e-01
-8.010079513889872826e-01 1.138250717276780150e-01
1.871732157242194106e-01 1.867748102681961453e-01
1.871732157242194106e-01 1.867748102681961453e-01
9.650265008113129150e-01 4.984435784483434717e-02
9.650265008113129150e-01 4.984435784483434717e-02
6.584726006645559293e-01 -1.430965562030484806e-01
6.584726006645559293e-01 -1.430965562030484806e-01
-3.880116732491257214e-01 -1.752388459661232689e-01
-3.880116732491257214e-01 -1.752388459661232689e-01
-9.984844531031081827e-01 -1.046399040939353757e-02
-9.984844531031081827e-01 -1.046399040939353757e-02
-4.869531072889952128e-01 1.660693260566200591e-01
-4.869531072889952128e-01 1.660693260566200591e-01
5.717709300960577279e-01 1.559893523473276644e-01
5.717709300960577279e-01 1.559893523473276644e-01
9.879918814178607622e-01 -2.937697294219805688e-02
9.879918814178607622e-01 -2.937697294219805688e-02
2.939992849648969120e-01 -1.817321834984114703e-01
2.939992849648969120e-01 -1.817321834984114703e-01
-7.303624120272318443e-01 -1.298736388797605279e-01
-7.303624120272318443e-01 -1.298736388797605279e-01
-9.340106397402678784e-01 6.792484319684068128e-02
-9.340106397402678784e-01 6.792484319684068128e-02
-8.810442727176542865e-02 1.893956928648075633e-01
-8.810442727176542865e-02 1.893956928648075633e-01
8.568053606469258066e-01 9.804124703849527445e-02
8.568053606469258066e-01 9.804124703849527445e-02
8.389168330257227302e-01 -1.034828497232783834e-01
8.389168330257227302e-01 -1.034828497232783834e-01
-1.216685436271004866e-01 -1.887225276695595477e-01
-1.216685436271004866e-01 -1.887225276695595477e-01
-9.455341070777001367e-01 -6.189335066901301835e-02
-9.455341070777001367e-01 -6.189335066901301835e-02
-7.068962276314210147e-01 1.344858274219042638e-01
-7.068962276314210147e-01 1.344858274219042638e-01
3.260860017510930353e-01 1.797423187826316104e-01
3.260860017510930353e-01 1.797423187826316104e-01
9.926430573110691657e-01 2.302108019023881361e-02
9.926430573110691657e-01 2.302108019023881361e-02
5.437600054588330734e-01 -1.595691109637164540e-01
5.437600054588330734e-01 -1.595691109637164540e-01
-5.161500559799639953e-01 -1.628503501615080895e-01
-5.161500559799639953e-01 -1.628503501615080895e-01
-9.960586056541110844e-01 1.686451456589643794e-02
-9.960586056541110844e-01 1.686451456589643794e-02
-3.566889717993558806e-01 1.776286035836300570e-01
-3.566889717993558806e-01 1.776286035836300570e-01
6.834946123331414602e-01 1.387901595442828928e-01
6.834946123331414602e-01 1.387901595442828928e-01
9.556304091150032987e-01 -5.600778003541107691e-02
9.556304091150032987e-01 -5.600778003541107691e-02
1.539174761457259843e-01 -1.878693763661219429e-01
1.539174761457259843e-01 -1.878693763661219429e-01
